reference	substance_name	receptor	cell_line	measurement	assay_params	value	units	significant	info	retigabine_site	ICA27243_site
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (R)-6	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	NULL	NA	NA	Inactive	0	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (S)-7	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	0.9	nM	NA	NA	1	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (R)-7	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	NULL	NA	NA	Inactive	0	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ1	Xenopus Laevis oocytes	two-electrode voltage-clamp	ΔV1/2	NULL	mV	NA	Not significant	0	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ2	Xenopus Laevis oocytes	two-electrode voltage-clamp	ΔV1/2	-19	mV	NA	NA	1	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ2/3	Xenopus Laevis oocytes	two-electrode voltage-clamp	ΔV1/2	-17.96	mV	NA	NA	1	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ4	Xenopus Laevis oocytes	two-electrode voltage-clamp	ΔV1/2	-30.4	mV	NA	NA	1	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ5	Xenopus Laevis oocytes	two-electrode voltage-clamp	ΔV1/2	-18.1	mV	NA	NA	1	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ2	Xenopus Laevis oocytes	two-electrode voltage-clamp	EC50	0.17	uM	NA	NA	1	NULL
(Blom, 2009, 10.1371/journal.pone.0008251)	Acrylamide (S)-2	KCNQ4	Xenopus Laevis oocytes	two-electrode voltage-clamp	EC50	0.22	uM	NA	NA	1	NULL
(Blom, 2014, 10.1371/journal.pone.0100209)	SMB-1	KCNQ2	Xenopus laevis oocytes	two-electrode voltage-clamp	ΔV1/2	4.5	mV	NA	method same as Blom, 2009	1	NULL
(Blom, 2014, 10.1371/journal.pone.0100209)	SMB-1	KCNQ2	Xenopus laevis oocytes	two-electrode voltage-clamp	IC50	7.4	uM	NA	NA	1	NULL
(Blom, 2014, 10.1371/journal.pone.0100209)	SMB-1	KCNQ4	Xenopus laevis oocytes	two-electrode voltage-clamp	ΔV1/2	NULL	NA	NA	Non Significant	0	NULL
(Blom, 2014, 10.1371/journal.pone.0100209)	SMB-1	KCNQ4	Xenopus laevis oocytes	two-electrode voltage-clamp	EC50	5.7	uM	NA	NA	1	NULL
(Wu, 2003, 10.1021/jm034111v)	BMS-568274	NA	NA	NA	NA	NULL	NA	NA	NA	NA	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-8g	KCNQ4	CHO	whole-cell patch clamp	EC50	2.03	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-10g	KCNQ4	CHO	whole-cell patch clamp	EC50	0.78	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-13	KCNQ4	CHO	whole-cell patch clamp	EC50	1.42	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-8g	KCNQ5	CHO	whole-cell patch clamp	EC50	2.43	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-10g	KCNQ5	CHO	whole-cell patch clamp	EC50	1.68	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-14	KCNQ5	CHO	whole-cell patch clamp	EC50	1.37	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-8g	KCNQ2	CHO	whole-cell patch clamp	EC50	NULL	NA	NA	>30 uM	0	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-10g	KCNQ2	CHO	whole-cell patch clamp	EC50	NULL	NA	NA	>30 uM	0	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-15	KCNQ2	CHO	whole-cell patch clamp	EC50	NULL	NA	NA	>30 uM	0	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	retigabine	KCNQ4	CHO	whole-cell patch clamp	EC50	5.9	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	retigabine	KCNQ5	CHO	whole-cell patch clamp	EC50	3.45	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	retigabine	KCNQ2	CHO	whole-cell patch clamp	EC50	2.17	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-8g	KCNQ4	CHO	whole-cell patch clamp	I/I0 @ 10uM	3.05	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-10g	KCNQ4	CHO	whole-cell patch clamp	I/I0 @ 10uM	6.37	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-13	KCNQ4	CHO	whole-cell patch clamp	I/I0 @ 10uM	7.71	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-8g	KCNQ5	CHO	whole-cell patch clamp	I/I0 @ 10uM	5.32	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-10g	KCNQ5	CHO	whole-cell patch clamp	I/I0 @ 10uM	4.58	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-14	KCNQ5	CHO	whole-cell patch clamp	I/I0 @ 10uM	4.59	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-8g	KCNQ2	CHO	whole-cell patch clamp	I/I0 @ 10uM	1	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-10g	KCNQ2	CHO	whole-cell patch clamp	I/I0 @ 10uM	1.16	uM	NA	NA	1	NULL
(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	WANG2019-15	KCNQ2	CHO	whole-cell patch clamp	I/I0 @ 10uM	1.07	uM	NA	NA	1	NULL
(Hu, 2013, 10.1038/aps.2013.79)	HN38	KCNQ2	CHO	Standard whole-cell recording	IC50	0.1	uMol/L	NA	NA	1	NULL
(Hu, 2013, 10.1038/aps.2013.79)	HN38	KCNQ2	CHO	Standard whole-cell recording	I/I0 @ 10 uMol/L	0.008	NA	NA	NA	1	NULL
(Aiken, 1995, 10.1111/j.1476-5381.1995.tb15019.x)	linopirdine	Im current (not specific)	rat hippocampal CA neurones	single electrode voltage clamp	IC50	8.5	uM	NA	Im can be KCNQ2/3 or 3/5	1	NULL
(Zaczek, 1998, http://jpet.aspetjournals.org/content/285/2/724)	XE991	Im	rat hippocampal CA neurones	radiation release assay	EC50	0.49	uM	NA	NA	1	NULL
(Zaczek, 1998, http://jpet.aspetjournals.org/content/285/2/724)	DMP-543	Im	rat hippocampal CA neurones	radiation release assay	EC50	0.7	uM	NA	NA	1	NULL
(Luo, 2018, 10.1073/pnas.1714760115)	spooky toxin (SsTX)	KCNQ4	HEK293	whole-cell patch clamp	IC50	2.5	uM	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ1	rat hippocampal CA neurones	Whole-cell current-clamp	% change in current at 3uM	-97	%	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ5	rat hippocampal CA neurones	Whole-cell current-clamp	% change in current at 0mV	30	%	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ4	rat hippocampal CA neurones	Whole-cell current-clamp	% change in current at 0mV	-36	%	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ2	rat hippocampal CA neurones	Whole-cell current-clamp	% change in current at 0mV	-76	%	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ3	rat hippocampal CA neurones	Whole-cell current-clamp	% change in current at 0mV	-13	%	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ2	rat hippocampal CA neurones	Whole-cell current-clamp	IC50	1.1	uM	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ3	rat hippocampal CA neurones	Whole-cell current-clamp	IC50	16.28	uM	NA	NA	1	NULL
(Soh, 2010, 10.1124/mol.110.066100)	UCL2077	KCNQ2/3	rat hippocampal CA neurones	Whole-cell current-clamp	IC50	7.3	uM	NA	NA	1	NULL
(Cheung, 2012, 10.1021/jm300700v)	Cheung(S)-5/ML252	KCNQ1	CHO	automated patch clamp assay	IC50	2.92	uM	NA	IC50/EC50s were generated from 8-point concentration response curves with 3-fold dilutions starting from the maximal concentration (30 μM) with quadruplicate determinations in the automated patch clamp assay . In cases in which a saturating response was not obtained at the highest tested concentration (% at 30 μM) is listed. IC50/EC50 values are expressed as IC50/EC50 ± SD, using estimated standard deviations provided by the fitting software (Origin 6.0).	1	NULL
(Cheung, 2012, 10.1021/jm300700v)	Cheung(S)-5/ML253	KCNQ2	CHO	automated patch clamp assay	IC50	0.07	uM	NA	KCNQ2 channels were freshly dislodged from flasks and dispensed into a 384-well population patch clamp (PPC) plate. The cell plating density 19 was 7,000 cells/well suspended in the extracellular solution, composed of (in mM): 137 NaCl, 4 KCl, 1 MgCl2, 1.8 CaCl2, 10 HEPES, and 10 glucose, pH 7.4 adjusted with NaOH	1	NULL
(Cheung, 2012, 10.1021/jm300700v)	Cheung(S)-5/ML254	KCNQ1/E1	CHO	automated patch clamp assay	IC50	8.12	uM	NA	NA	1	NULL
(Cheung, 2012, 10.1021/jm300700v)	Cheung(S)-5/ML255	KCNQ2/3	CHO	automated patch clamp assay	IC50	0.12	uM	NA	NA	1	NULL
(Cheung, 2012, 10.1021/jm300700v)	Cheung(S)-5/ML256	KCNQ4	CHO	automated patch clamp assay	IC50	0.2	uM	NA	NA	1	NULL
(Roeloffs, 2008, 10.1124/jpet.108.137794)	ICA-27243	Rat MES	NA	Sezure repsonse	NA	1.5	uM	NA	NA	NA	1
(Roeloffs, 2008, 10.1124/jpet.108.137794)	ICA-27243	Mouse MES	NA	NA	NA	8.6	NA	NA	NA	NA	1
(Roeloffs, 2008, 10.1124/jpet.108.137794)	ICA-27243	Mouse 6Hz	NA	NA	NA	1635120000	NA	NA	NA	NA	1
(Roeloffs, 2008, 10.1124/jpet.108.137794)	ICA-27243	Raty PTZ	NA	NA	NA	2.2	NA	NA	NA	NA	1
(Roeloffs, 2008, 10.1124/jpet.108.137794)	ICA-27243	Rat Amgdala	NA	NA	NA	1615248000	NA	NA	NA	NA	1
(Roeloffs, 2008, 10.1124/jpet.108.137794)	ICA-27243	Rat Locomotor	NA	NA	NA	40	NA	NA	NA	NA	1
(Xiong, 2007, 10.1038/nchembio874)	zinc pyrithione (ZnPy)	KCNQ2	DRG (rat)	Standard whole-cell recording was used.	EC50	1.5	uM	NA	The pipettes had resistances of 7–15 MΩ when filled with the intracellular solution of the following composition (in mM): 145 KCl, 1 MgCl2, 5 EGTA, 10 HEPES and 5 MgATP (pH 7.3). Extracellular solution contained (in mM): 150 NaCl, 5 KCl, 2 CaCl2, 1 MgCl2, 10 HEPES and 10 glucose (pH 7.4). Current and voltage were recorded using an Axopatch-200B amplifier, sampled at 4 kHz and filtered at 200 Hz, and digitized using a DigiData 1322A with pClamp 9.2 software (Axon Instruments).	NA	NULL
(Xiong, 2007, 10.1038/nchembio874)	zinc pyrithione (ZnPy)	KCNQ2/3	DRG (rat)	Standard whole-cell recording was used.	EC50	2.4	uM	NA	novel binding site	NA	NULL
(Xiong, 2007, 10.1038/nchembio874)	zinc pyrithione (ZnPy)	KCNQ2-L249A	DRG (rat)	Standard whole-cell recording was used.	EC50	8.6	uM	NA	NA	NA	NULL
(Xiong, 2007, 10.1038/nchembio874)	zinc pyrithione (ZnPy)	KCNQ2-L249W	DRG (rat)	Standard whole-cell recording was used.	EC50	9.2	uM	NA	NA	NA	NULL
(Xiong, 2007, 10.1038/nchembio874)	zinc pyrithione (ZnPy)	KCNQ2-A306T	DRG (rat)	Standard whole-cell recording was used.	EC50	2.1	uM	NA	NA	NA	NULL
(Xiong, 2008, 10.1073/pnas.0712256105)	NA	NA	NA	NA	NA	NULL	NA	NA	NA	NA	NULL
(Hadley, 2009, 10.1038/sj.bjp.0703086)	tetraethylammonium	KCNQ1	CHO	patch clamp recording	IC50	5	mM	NA	NA	NA	NULL
(Hadley, 2009, 10.1038/sj.bjp.0703086)	tetraethylammonium	KCNQ2	CHO	patch clamp recording	IC50	0.03	mM	NA	NA	NA	NULL
(Hadley, 2009, 10.1038/sj.bjp.0703086)	tetraethylammonium	KCNQ3	CHO	patch clamp recording	IC50	NULL	NA	NA	>30 mM	NA	NULL
(Hadley, 2009, 10.1038/sj.bjp.0703086)	tetraethylammonium	KCNQ4	CHO	patch clamp recording	IC50	3	mM	NA	NA	NA	NULL
(Hadley, 2009, 10.1038/sj.bjp.0703086)	tetraethylammonium	KCNQ2/3	CHO	patch clamp recording	IC50	3.8	mM	NA	NA	NA	NULL
(Hadley, 2009, 10.1038/sj.bjp.0703086)	tetraethylammonium	KCNQ2/3-T323Y	CHO	patch clamp recording	IC50	0.5	mM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	XE991	KCNQ2	Xenopus oocytes	traditional M-current voltage-clamp protocol	IC50	0.71	uM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	XE992	KCNQ1	Xenopus oocytes	traditional M-current voltage-clamp protocol	IC50	0.75	uM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	XE993	KCNQ2/3	Xenopus oocytes	traditional M-current voltage-clamp protocol	IC50	0.6	uM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	tetraethylammonium	M channel	Rat sympathetic neuron	traditional M-current voltage-clamp protocol	IC50	5.8	mM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	tetraethylammonium	KCNQ2	Xenopus oocytes	traditional M-current voltage-clamp protocol	Kd	0.16	mM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	tetraethylammonium	KCNQ2/3	Xenopus oocytes	traditional M-current voltage-clamp protocol	Kd	0.35	mM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	Linopirdine	KCNQ2	Xenopus oocytes	traditional M-current voltage-clamp protocol	IC50	4.8	uM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	Linopirdine	KCNQ1	Xenopus oocytes	traditional M-current voltage-clamp protocol	IC50	8.9	uM	NA	NA	NA	NULL
(Wang, 1998, 10.1126/science.282.5395.1890)	Linopirdine	KCNQ2/3	Xenopus oocytes	traditional M-current voltage-clamp protocol	IC50	4	uM	NA	NA	NA	NULL
(Wickenden, 2008, 10.1124/mol.107.043216)	ICA-27243	KCNQ2/3	CHO	86Rb+ efflux assay.	EC50	0.2	uM	NA	opener, but inhibitory at high conentrations	NA	1
(Wickenden, 2008, 10.1124/mol.107.043216)	ICA-27244	KCNQ4	CHO	86Rb+ efflux assay.	EC50	7.1	uM	NA	NA	NA	1
(Wickenden, 2008, 10.1124/mol.107.043216)	ICA-27245	KCNQ1/KCNE1	CHO	86Rb+ efflux assay.	IC50	40	uM	NA	NA	NA	1
(Wickenden, 2008, 10.1124/mol.107.043216)	ICA-27243	KCNQ2/3	CHO	Whole Cell Patch Clamp	EC50	0.4	uM	NA	NA	NA	1
(Wickenden, 2008, 10.1124/mol.107.043216)	ICA-27243	KCNQ2/5	CHO	Whole Cell Patch Clamp	EC50	30>	uM	NA	NA	NA	1
(Wickenden, 2008, 10.1124/mol.107.043216)	ICA-27243	KCNQ4	CHO	Whole Cell Patch Clamp	EC50	1.2	uM	NA	NA	NA	1
(Padilla, 2009, 10.1016/j.neulet.2009.08.071)	ICA-27243	KCNQ2/3-W236L/W265L	NA	NA	EC50	0.28	uM	NA	https://www.surechembl.org/document/US-10851067-B2	NA	1
(Padilla, 2009, 10.1016/j.neulet.2009.08.071)	ICA-27243	KCNQ2/3	NA	NA	EC50	0.44	uM	NA	https://www.surechembl.org/document/US-10851067-B2	NA	1
(Padilla, 2009, 10.1016/j.neulet.2009.08.071)	ICA-27243	KCNQ2	NA	NA	EC50	0.44	uM	NA	https://www.surechembl.org/document/US-10851067-B2	NA	1
(Padilla, 2009, 10.1016/j.neulet.2009.08.071)	ICA-27243	KCNQ5	NA	NA	EC50	0.45	uM	NA	https://www.surechembl.org/document/US-10851067-B2	NA	1
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_330	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	NA	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_331	KCNQ2/3	HEK	QPatch	3uM dose	+++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_332	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_333	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_334	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_335	KCNQ2/3	HEK	QPatch	3uM dose	O	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_336	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_337	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_338	KCNQ2/3	HEK	QPatch	3uM dose	+++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_339	KCNQ2/3	HEK	QPatch	3uM dose	O	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_340	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_341	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_342	KCNQ2/3	HEK	QPatch	3uM dose	+++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_343	KCNQ2/3	HEK	QPatch	3uM dose	+++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_344	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_345	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_346	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_347	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_348	KCNQ2/3	HEK	QPatch	3uM dose	O	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_349	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_350	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_351	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_352	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_353	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_354	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_355	KCNQ2/3	HEK	QPatch	3uM dose	+++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_356	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_357	KCNQ2/3	HEK	QPatch	3uM dose	+++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_358	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_359	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_360	KCNQ2/3	HEK	QPatch	3uM dose	O	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_361	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_362	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_363	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_364	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_365	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_366	KCNQ2/3	HEK	QPatch	3uM dose	+	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
(Bozik, 2019, US-201916358642-A)	Bozik_Mar2019_367	KCNQ2/3	HEK	QPatch	3uM dose	++	fold increase over baseline (+: 1.2-2.9; ++: 2-3.9; +++: >4, O: open channel at holding potential)	NA	https://www.surechembl.org/document/US-10851067-B2	NA	NULL
